URL,,,
https://www.w3schools.com/bootstrap/bootstrap_ref_all_classes.asp,,,
,,,
Class,Category,Description,
.active,Tables,Adds a grey background color to the table row (<tr> or table cell (<td>) (same color used on hover),
.active,Navbar,Adds a gray background color to the active link in a default navbar. Adds a black background and a white color to the current link inside an inverted navbar.,
.active,List Groups,Adds a blue background color to the active list item in a list group,
.active,Buttons,"Adds a blue background color to simulate a ""pressed"" button",
.active,Progress Bars,Animates a striped progress bar,
.active,Dropdowns,Adds a blue background color to the active dropdown item in a dropdown,
.active,Pagination,Adds a blue background color to the active pagination link (to highlight the current page),
.affix,Affix,The Affix plugin allows an element to become affixed (locked/sticky) to an area on the page. It toggles position:fixed on and off,
.alert,Alerts,Creates an alert message box,
.alert-danger,Alerts,Red alert box. Indicates a dangerous or potentially negative action,
.alert-dismissible,Alerts,"Together with the .close class, this class is used to close the alert",
.alert-info,Alerts,Light-blue alert box. Indicates some information,
.alert-link,Alerts,Used on links inside alerts to add matching colored links,
.alert-success,Alerts,Green alert box. Indicates a successful or positive action,
.alert-warning,Alerts,Yellow alert box. Indicates caution should be taken with this action,
.badge,Badges,Creates a circular badge (grey circle - often used as a numerical indicator),
.bg-danger,Helpers,Adds a red background color to an element. Represents danger or a negative action,
.bg-info,Helpers,Adds a light-blue background color to an element. Represents some information,
.bg-primary,Helpers,Adds a blue background color to an element. Represents something important,
.bg-success,Helpers,Adds a green background color to an element. Indicates success or a positive action,
.bg-warning,Helpers,Adds a yellow background color to an element. Represents a warning or a negative action,
.breadcrumb,Pagination,A pagination. Indicates the current page's location within a navigational hierarchy,
.btn,Buttons,Creates a basic button (gray background and rounded corners),
.btn-block,Buttons,Creates a block level button that spans the entire width of the parent element,
.btn-danger,Buttons,Red button. Indicates danger or a negative action,
.btn-default,Buttons,Default button. White background and grey border,
.btn-group,Button Groups,Groups buttons together on a single line,
.btn-group-justified,Button Groups,Makes a group of buttons span the entire width of the screen,
.btn-group-lg,Button Groups,Large button group (makes all buttons in a button group larger - increased font-size and padding),
.btn-group-sm,Button Groups,Small button group (makes all buttons in a button group smaller),
.btn-group-xs,Button Groups,Extra small button group (makes all buttons in a button group extra small),
.btn-group-vertical,Button Groups,Makes a button group appear vertically stacked,
.btn-info,Buttons,Light-blue button. Represents information,
.btn-link,Buttons,Makes a button look like a link (get button behavior),
.btn-lg,Buttons,Large button,
.btn-primary,Buttons,Blue button.,
.btn-sm,Buttons,Small button,
.btn-success,Buttons,Green button. Indicates success or a positive action,
.btn-warning,Buttons,Yellow button. Represents warning or a negative action,
.btn-xs,Buttons,Extra small button,
.caption,Images,Adds a caption text inside a .thumbnail,
.caret,Dropdowns,"Creates a caret arrow icon , which indicates that the button is a dropdown",
.carousel,Carousel,Creates a carousel (slideshow),
.carousel-caption,Carousel,Creates a caption text for each slide in the carousel,
.carousel-control,Carousel,Container for next and previous links,
.carousel-indicators,Carousel,"Adds little dots/indicators at the bottom of each slide (which indicates how many slides there is in the carousel, and which slide the user are currently viewing)",
.carousel-inner,Carousel,Container for slide items,
.center-block,Helpers,Centers any element (Sets an element to display:block with margin-right:auto and margin-left:auto),
.checkbox,Inputs,Container for checkboxes,
.checkbox-inline,Inputs,Makes multiple checkboxes appear on the same line,
.clearfix,Helpers,Clears floats,
.close,Helpers,Indicates a close icon,
.col-*-*,Grid,"Responsive grid (span 1-12 column). Extra small devices Phones (< 768px), Small devices Tablets (≥768px), Medium devices Desktops (≥992px), Large devices Desktops (≥1200px). Column values can be 1-12.",
.col-*-offset-*,Grid,Move columns to the right. These classes increase the left margin of a column by * columns,
.col-*-pull-*,Grid,Changes the order of the grid columns,
.col-*-push-*,Grid,Changes the order of the grid columns,
.collapse,Collapse,Indicates collapsible content - which can be hidden or shown on demand,
.collapse in,Collapse,Show the collapsible content by default,
.container,Containers,Fixed width container with widths determined by screen sites. Equal margin on the left and right.,
.container-fluid,Containers,A container that spans the full width of the screen,
.control-label,Forms,Allows a label to be used for form validation,
.danger,Tables,Adds a red background to the table row (<tr> or table cell (<td>). Indicates a dangerous or potentially negative action,
.disabled,Buttons,"Disables a button (adds opacity and a ""no-parking-sign"" icon on hover)",
.disabled,Dropdowns,"Disables a dropdown item (adds a grey text color and a ""no-parking-sign"" icon on hover)",
.disabled,Pagination,"Disables a pagination link (cannot be clicked - adds a grey text color and a ""no-parking-sign"" icon on hover)",
.disabled,List Groups,"Disables a list item in a list group (cannot be clicked - adds a grey background color and a ""no-parking-sign"" icon on hover)",
.divider,Dropdowns,Used to separate links in the dropdown menu with a thin horizontal border,
.dl-horizontal,Typography,"Lines up the terms <dt> and descriptions <dd> in <dl> elements side-by-side. Starts off like default <dl>s, but when the browser window expands, it will line up side-by-side",
.dropdown,Dropdowns,Creates a toggleable menu that allows the user to choose one value from a predefined list,
.dropdown-header,Dropdowns,Used to add headers inside the dropdown menu,
.dropdown-menu,Dropdowns,Adds the default styles for the dropdown menu container,
.dropdown-menu-right,Dropdowns,Right-aligns a dropdown menu,
.dropdown-toggle,Dropdowns,Used on the button that should hide and show (toggle) the dropdown menu,
.dropup,Dropdowns,Indicates a dropup menu (upwards instead of downwards),
.embed-responsive,Images,Container for embedded content. Makes videos or slideshows scale properly on any device,
.embed-responsive-16by9,Images,Container for embedded content. Creates an 16:9 aspect ratio embedded content,
.embed-responsive-4by3,Images,Container for embedded content. Creates an 4:3 aspect ratio embedded content,
.embed-responsive-item,Images,Used inside .embed-responsive. Scales the video nicely to the parent element,
.fade,Alerts,Adds a fading effect when closing an alert box,
.form-control,Forms,"Used on input, textarea, and select elements to span the entire width of the page and make them responsive",
.form-control-feedback,Inputs 2,Form validation class,
.form-control-static,Inputs 2,Adds plain text next to a form label within a horizontal form,
.form-group,Forms,Container for form input and label,
.form-inline,Forms,Makes a <form> left-aligned with inline-block controls (This only applies to forms within viewports that are at least 768px wide),
.form-horizontal,Forms,Aligns labels and groups of form controls in a horizontal layout,
.glyphicon,Glyphicons,Creates an icon. Bootstrap provides 260 free glyphicons from the Glyphicons Halflings set,
.has-danger,Forms,"Adds a red color to the label and a red border to the input, as well as an error icon inside the input (used together with .has-feedback)",
.has-feedback,Forms,"Adds feedback icons for inputs (checkmark, warning and error signs)",
.has-success,Forms,"Adds a green color to the label and a green border to the input, as well as a checkmark icon inside the input (used together with .has-feedback)",
.has-warning,Forms,"Adds a yellow/orange color to the label and a yellow/orange border to the input, as well as a checkmark icon inside the input (used together with .has-feedback)",
.help-block,Input Sizing,A block of help text that breaks onto a new line and may extend beyond one line.,
.hidden,Helpers,Forces an element to be hidden (display:none),
.hidden-*,Helpers,Hides content depending on screen size,
.hide,Helpers,Deprecated. Use .hidden instead,
.h1 - .h6,Typography,Makes an element look like a heading of the chosen class (h1-h6),
.icon-bar,Navbar,Used in the navbar to create a hamburger menu (three horizontal bars),
.icon-next,Carousel,"Unicode icon (arrow pointing right), used in carousels. This is often replaced with a glyphicon",
.icon-prev,Carousel,"Unicode icon (arrow pointing left), used in carousels. This is often replaced with a glyphicon",
.img-circle,Images,Shapes an image to a circle (not supported in IE8 and earlier),
.img-responsive,Images,Makes an image responsive,
.img-rounded,Images,Adds rounded corners to an image,
.img-thumbnail,Images,Shapes an image to a thumbnail (borders),
.in,Tabs,Fades in tabs,
.info,Tables,Adds a light-blue background to the table row (<tr> or table cell (<td>). Indicates a neutral informative change or action,
.initialism,Typography,Displays the text inside an <abbr> element in a slightly smaller font size,
.input-group,Inputs,"Container to enhance an input by adding an icon, text or a button in front or behind it as a ""help text""",
.input-group-lg,Inputs,Large input group,
.input-group-sm,Inputs,Small input group,
.input-group-addon,Inputs,"Together with the .input-group class, this class makes it possible to add an icon or help text next to the input field",
.input-group-btn,Inputs,"Together with the .input-group class, this class attaches a button next to an input. Often used as a search bar",
.input-lg,Input Sizing,Large input field,
.input-sm,Input Sizing,Small input field,
.invisible,Helpers,"Makes an element invisible (visibility:hidden). Note: Even though the element is invisible, it will take up space on the page",
.item,Carousel,Class added to each carousel item. May be text or images,
.jumbotron,Jumbotron,Creates a padded grey box with rounded corners that enlarges the font sizes of the text inside it. Creates a big box for calling extra attention to some special content or information,
.label,Labels,"Adds a grey rounded box to an element. Provides additional information about something (e.g. ""New"")",
.label-danger,Labels,Red label,
.label-info,Labels,Light-blue label,
.label-success,Labels,Green label,
.label-warning,Labels,Yellow label,
.lead,Typography,Increase the font size and line height of a paragraph,
.left,Carousel,Used to identify the left carousel control,
.list-group,List Group,Creates a bordered list group for <li> elements,
.list-group-item,List Group,Added to each <li> element in the list group,
.list-group-item-heading,List Group,Creates a list group heading (used on other elements besides <li>),
.list-group-item-text,List Group,Used for item text inside the list group (used on other elements besides <li>),
.list-group-item-danger,List Group,Red background color for a list item in a list group,
.list-group-item-info,List Group,Light-blue background color for a list item in a list group,
.list-group-item-success,List Group,Green background color for a list item in a list group,
.list-group-item-warning,List Group,Yellow background color for a list item in a list group,
.list-inline,Tabs,Places all list items on a single line (horizontal menu),
.list-unstyled,Typography,"Removes all default list-style (bullets, left margin, etc.) styling from a <ul> or <ol> list",
.mark,Typography,Highlights text: Highlighted text,
.media,Media Objects,Aligns media objects (like images or videos - often used for comments in a blog post etc),
.media-body,Media Objects,Text that should appear next to a media object,
.media-heading,Media Objects,Creates a heading inside the media object,
.media-list,Media Objects,Nested media lists,
.media-object,Media Objects,Indicates a media object (image or video),
.modal,Modals,Identifies the content as a modal and brings focus to it,
.modal-body,Modals,"Defines the style for the body of the modal. Add any HTML markup here (p, img, etc)",
.modal-content,Modals,"Styles the modal (border, background-color, etc). Inside this, add the modal's header, body and footer, if needed",
.modal-dialog,Modals,Sets the proper width and margin of the modal,
.modal-footer,Modals,The footer of the modal (often contains an action button and a close button),
.modal-header,Modals,The header of the modal (often contains a title and a close button),
.modal-lg,Modals,Large modal (wider than default),
.modal-open,Modals,Used on the <body> element to prevent page scrolling (overflow:hidden),
.modal-sm,Modals,Small modal (less width),
.modal-title,Modals,The title of the modal,
.nav nav-tabs,Tabs,Indicates a tabbed menu,
.nav nav-pills,Tabs,Indicates a pill menu,
.nav .navbar-nav,Navbar,Used on a <ul> container that contains the list items with links inside a navigation bar,
.nav-justified,Tabs,Centers tabs/pills. Note that on screens smaller than 768px the items are stacked (content will remain centered),
.nav-stacked,Tabs,Vertically stack tabs or pills,
.nav-tabs,Tabs,Creates a tabbed menu,
.navbar,Navbar,Creates a navigation bar,
.navbar-brand,Navbar,Added to a link or a header element inside the navbar to represent a logo or a header,
.navbar-btn,Navbar,Vertically aligns a button inside a navbar,
.navbar-collapse,Navbar,Collapses the navbar (hidden and replaced with a menu/hamburger icon on mobile phones and small tablets),
.navbar-default,Navbar,Creates a default navigation bar (light-grey background color),
.navbar-fixed-bottom,Navbar,Makes the navbar stay at the bottom of the screen (sticky/fixed),
.navbar-fixed-top,Navbar,Makes the navbar stay at the top of the screen (sticky/fixed),
.navbar-form,Navbar,Added to form elements inside the navbar to vertically center them (proper padding),
.navbar-header,Navbar,Added to a container element that contains the link/element that represent a logo or a header,
.navbar-inverse,Navbar,Creates a black navigation bar (instead of light-grey),
.navbar-left,Navbar,"Aligns nav links, forms, buttons, or text, in the navbar to the left",
.navbar-link,Navbar,"Styles an element to look like a link inside the navbar (anchors get proper padding and an underline on hover, while other elements like p or span gets a default hover effect - white color in an inversed navbar and a black color in a default navbar)",
.navbar-nav,Navbar,Used on a <ul> container that contains the list items with links inside a navigation bar,
.navbar-right,Navbar,"Aligns nav links, forms, buttons, or text in the navbar to the right.",
.navbar-static-top,Navbar,"Removes left, top and right borders (rounded corners) from the navbar (default navbar has a gray border and a 4px border-radius by default)",
.navbar-text,Navbar,Vertical align any elements inside the navbar that are not links (ensures proper padding),
.navbar-toggle,Navbar,Styles the button that should open the navbar on small screens. Often used together with three .icon-bar classes to indicate a toggleable menu icon (hamburger/bars),
.next,Carousel,Used in the carousel control to identity the next control,
.next,Pager,Used to align pager buttons to the right side of the page (next button),
.page-header,Page Header,Adds a horizontal line under the heading (+ adds some extra space around the element),
.pager,Pager,Creates previous/next buttons (used on <ul> elements),
.pagination,Pagination,Creates a pagination (Useful when you have a web site with lots of pages. Used on <ul> elements),
.pagination-lg,Pagination,Large pagination (each pagination link gets a font-size of 18px. Default is 14px),
.pagination-sm,Pagination,Small pagination (each pagination link gets a font-size of 12px. Default is 14px),
.panel,Panels,Creates a bordered box with some padding around its content,
.panel-body,Panels,Container for content inside the panel,
.panel-collapse,Collapse,Collapsible panel (toggle between hiding and showing panel(s)),
.panel-danger,Panels,Red panel. Indicates danger,
.panel-info,Panels,Light-blue panel. Indicates information,
.panel-success,Panels,Green panel. Indicates success,
.panel-warning,Panels,Yellow panel. Indicates warning,
.panel-footer,Panels,Creates a panel footer (light background color),
.panel-group,Panels,Used to group many panels together. This removes the bottom margin below each panel,
.panel-heading,Panels,Creates a panel header (light background color),
.panel-title,Panels,Used inside a .panel-heading to adjust the styling of the text (removes margins and adds a font-size of 16px),
.popover,Popover,Popup-box that appears when the user clicks on an element,
.pre-scrollable,Helpers,Makes a <pre> element scrollable (max-height of 350px and provide a y-axis scrollbar),
.prev,Carousel,"Used in carousels to indicate a ""previous"" link",
.previous,Pager,Used to align pager buttons to the left side of the page (previous button),
.progress,Progress Bars,Container for progress bars,
.progress-bar,Progress Bars,Creates a progress bar,
.progress-bar-danger,Progress Bars,Red progress bar. Indicates danger,
.progress-bar-info,Progress Bars,Light-blue progress bar. Indicates information,
.progress-bar-striped,Progress Bars,Creates a striped progress bar,
.progress-bar-success,Progress Bars,Green progress bar. Indicates success,
.progress-bar-warning,Progress Bars,Yellow progress bar. Indicates warning,
.pull-left,Helpers,Float an element to the left,
.pull-right,Helpers,Float an element to the right,
.right,Carousel,Used to identify the right carousel control,
.row,Grid,Container for responsive columns,
.show,Helpers,Shows an element (display:block),
.small,Typography,"Creates a lighter, secondary text in any heading",
.sr-only,Helpers,Hides an element on all devices except for screen readers,
.sr-only-focusable,Helpers,Hides an element on all devices except for screen readers,
.success,Tables,Adds a green background color to a table row (<tr> or table cell (<td>). Indicates success or a positive action,
.tab-content,Tabs,Used together with .tab-pane to creates toggleable/dynamic tabs/pills,
.tab-pane,Tabs,Used together with .tab-content to creates toggleable/dynamic tabs/pills,
.table,Tables,"Adds basic styling to a table (padding, bottom borders, etc)",
.table-bordered,Tables,Adds borders on all sides of the table and cells,
.table-condensed,Tables,Makes a table more compact by cutting cell padding in half,
.table-hover,Tables,Creates a hoverable table (adds a grey background color on table rows on hover),
.table-responsive,Tables,Makes a table responsive (adds a horizontal scrollbar when needed),
.text-capitalize,Typography,Indicates capitalized text,
.text-center,Typography,Center-aligns text,
.text-danger,Typography,Red text color. Indicates danger,
.text-hide,Typography,Hides text (helps replace an element's text content with a background image),
.text-info,Typography,Light-blue text color. Indicates information,
.text-justify,Typography,Indicates justified text,
.text-left,Typography,Aligns the text to the left,
.text-lowercase,Typography,Changes text to lowercase,
.text-muted,Typography,Grey text color,
.text-nowrap,Typography,Prevents the text from wrapping,
.text-primary,Typography,Blue text color,
.text-right,Typography,Aligns text to the right,
.text-success,Typography,Green text color. Indicates success,
.text-uppercase,Typography,Makes text uppercase,
.text-warning,Typography,Yellow/orange text color. Indicates warning,
.thumbnail,Images,Adds a border around an element (often images or videos) to make it look like a thumbnail,
.tooltip,Tooltip,Popup-box that appears when the user moves the mouse pointer over an element,
.visible-*,Helpers,Deprecated as of v3.2.0. Used to show and/or hide content by device. Note: Use .hidden-* instead,
.visible-print-block,Helpers,Displays the element (display:block) in print (pre)view,
.visible-print-inline,Helpers,Displays the element (display:inline) in print (pre)view,
.visible-print-inline-block,Helpers,Displays the element (display:inline-block) in print (pre)view,
.hidden-print,Helpers,Hides the element (display:none) in print (pre)view,
.warning,Tables,Adds a yellow background color to the table row (<tr> or table cell (<td>). Indicates a warning,
.well,Wells,Adds a rounded border around an element with a gray background color and some padding,
.well-lg,Wells,Large well (more padding),
.well-sm,Wells,Small well (less padding),
